ID,Campaign Name,Commission,Category,Cookie Duration,Synced At
6767399642708413705,TPBANK CREATOR,,35,0,2026-06-02T02:18:00.303802
6775153232642032998,Shondo Website,,59,2592000,2026-06-02T02:18:00.303802
6784240612814193572,GALAXY APP,,65,2592000,2026-06-02T02:18:00.303802
6800497735607325103,SHOPDUNK WEB,,59,2592000,2026-06-02T02:18:00.303802
6802131001370895715,LEAFY SHOPEE PUB,,E-COMMERCE,604800,2026-06-02T02:18:00.303802
6802133513714094693,LEAFY SHOPEE CASHBACK,,E-COMMERCE,604800,2026-06-02T02:18:00.303802
6806487205607726833,Sun World - The World of Wow,,63,2592000,2026-06-02T02:18:00.303802
6815765839806815244,Traphaco Shopee PUB,,18,604800,2026-06-02T02:18:00.303802
6815768354191563091,Traphaco Shopee Loyalty,,18,604800,2026-06-02T02:18:00.303802
6822308958202075636,VPBank - Vay Tín chấp,,60,2592000,2026-06-02T02:18:00.303802
6825311236550935187,Ding Tea,,E-COMMERCE,2592000,2026-06-02T02:18:00.303802
6827321992129624253,Chứng khoán Maybank_LDP,,FINANCIAL SERVICES,2592000,2026-06-02T02:18:00.303802
6853569940830038258,NUVIGROW,,E-COMMERCE,2592000,2026-06-02T02:18:00.303802
6853569940965633631,VARNA ,,E-COMMERCE,2592000,2026-06-02T02:18:00.303802
6853574977742060131, ENPLUSGOLD,,E-COMMERCE,2592000,2026-06-02T02:18:00.303802
6866678819944280655,Sun PhuQuoc Airways,,63,864000,2026-06-02T02:18:00.303802
6866696433410736444,KEYSHU Shopee PUB,,E-COMMERCE,604800,2026-06-02T02:18:00.303802
6866703987379499427,KEYSHU Shopee Loyalty,,E-COMMERCE,604800,2026-06-02T02:18:00.303802
6867974860107016756,Lazada Singapore,,59,604800,2026-06-02T02:18:00.303802
6867977378089718296,Lazada Malaysia,,59,604800,2026-06-02T02:18:00.303802
6872416627387563539,GetYourGuide Rakuten,,TRAVEL and LEISURE,2592000,2026-06-02T02:18:00.303802
6873138885445764645,AppMax_Vay Nhanh+Max Card+Vay,,60,2592000,2026-06-02T02:18:00.303802
6877351644194955800,HDBank - Thẻ tín dụng,,FINANCIAL SERVICES,604800,2026-06-02T02:18:00.303802
6882092886029161465,Kotex Shopee PUB,,59,604800,2026-06-02T02:18:00.303802
6882092886199230592,Kotex Shopee Cashback,,59,604800,2026-06-02T02:18:00.303802
6882095404447179509,Kotex Shopee Loyalty,,59,604800,2026-06-02T02:18:00.303802
6887015321445223189,VIB AppMax_Thẻ thanh toán,,,2592000,2026-06-02T02:18:00.303802
6891363974114605114,XANH SM - TUYỂN TÀI XẾ Car,,63,2592000,2026-06-02T02:18:00.303802
6893452745629965860,BlueStone Shopee Publisher,,59,604800,2026-06-02T02:18:00.303802
6893487974907782679,BlueStone Shopee _ Loyalty,,59,604800,2026-06-02T02:18:00.303802
6896341778738303892,Chứng khoán Kafi X,,60,2592000,2026-06-02T02:18:00.303802
6907309041542059055,Việt An Travel,,63,2592000,2026-06-02T02:18:00.303802
6923208811031507234,KIS,,60,2592000,2026-06-02T02:18:00.303802
6933204679968195072,Shopee Food Tài xế,,64,2592000,2026-06-02T02:18:00.303802
6933871567339046924,BIDV CN1,,35,2592000,2026-06-02T02:18:00.303802
6939168971888171572,Thẩm Mỹ Viện Ngọc Dung,,68,0,2026-06-02T02:18:00.303802
6944020948136238004,Aristino voucher,,59,2592000,2026-06-02T02:18:00.303802
6949939948611548600,iShinhan Vay IOS,,60,2592000,2026-06-02T02:18:00.303802
6949942463850829113,iShinhan Vay Android,,60,2592000,2026-06-02T02:18:00.303802
6954291118383707924,ARISTINO CREATOR,,29,2592000,2026-06-02T02:18:00.303802
6954336422318207062,ALIBABA,,59,1296000,2026-06-02T02:18:00.303802
6957824399262393441,KINGFOODMART,,59,604800,2026-06-02T02:18:00.303802
6958662421791892774,Jetpac,,63,2592000,2026-06-02T02:18:00.303802
6962147889261067281,BẢO TÍN MẠNH HẢI,,29,2592000,2026-06-02T02:18:00.303802
6963715724066451812,NEXHUB Website CPS,,29,2592000,2026-06-02T02:18:00.303802
6968708620718898781,Nam Ngư_CPR,,29,864000,2026-06-02T02:18:00.303802
6973127739678361480,HINICE SHOPEE LOYALTY,,68,604800,2026-06-02T02:18:00.303802
6978938525989840499,NEXHUB SHOPEE CPS,,29,2592000,2026-06-02T02:18:00.303802
6980244633143845927,NEXHUB SHOPEE LOYALTY,,29,2592000,2026-06-02T02:18:00.303802
6985504292608237860,HINICE SHOPEE PUB,,68,604800,2026-06-02T02:18:00.303802
